Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist -,$112K-$133K (Glassdoor est.),"Our Mission
We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution. We're out to change behavior and promote mindful living.

Job Requirements
You must have all the skills and experiences associated with one of the options below. These options change over time and reflect the current needs of the team.
Option one - Telematics ML
Machine learning: Kaggle grandmaster-level skills with history of deploying models to production
Telematics experience: You have led telematics modeling at a major company known for telematics
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
Option two - Telematics DL
Deep learning: Experience contributing new deep learning research to solve previously unsolved problems
Telematics experience: You have led telematics modeling at a major company known for telematics
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
Option Three - Contact Center Optimization
Contact center knowledge: You are an expert at using data science methods to optimize contact centers
Machine learning: Strong understanding of ML theory with significant applied experience
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
More details
Salary: We invest in first-rate people and pay top-of-market salaries for most positions, factoring in experience, talent and location. We do not offer equity.
Benefits: Medical, dental, vision, 401(k), wellness reimbursement, four weeks of vacation + six weeks of parental leave, and great work-life balance. Our office building offers on-site shower and bike stalls, and panoramic views of San Francisco.
Location: Due to COVID-19 our teams are all working remotely through 2020. We provide an in-home office set-up including laptop, monitor, ergonomic desk, chair and other items as needed
Location: Post COVID-19: San Francisco, CA near Montgomery Bart Station
All are welcome at Blue Owl. We are an equal opportunity and affirmative action employer who values diversity and inclusion and looks for applicants who understand, embrace and thrive in a multicultural world. We do not discriminate on the basis of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

If you are a San Francisco resident, please read the City and County of San Francisco's Fair Chance Ordinance notice.
https://sfgov.org/olse/sites/default/files/FCO%20poster2020.pdf",4.5,"Blue Owl
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Mid Data Scientist,$112K-$133K (Glassdoor est.),"Mid Data Scientist

Job Details
Level
Experienced
Job Location
Remote, Telework - , VA
Position Type
Full Time
Travel Percentage
None
Job Shift
Normal Business Hours
Job Category
Information Technology
Description
What will you be doing?:
Building solutions to give time back to analysts to perform analytics giving them more relevant and accurate data from the various data sources they may not be aware of while maintaining referenceable data provenance.
Research and develop categorization, correlation, and learning models for data analysis and data discovery
Collaborate with customers and stakeholders to devise possible solutions for data sharing environments
Keep up-to-date with the latest technology trends, communicating results and ideas to key decision makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Support synergizing data solutions with IT requirements management products for new initiatives to include data modeling
Communicate and coordinate with program stakeholders
The Company:
We opened our doors in 2003 and have developed long-standing relationships with our customers, both public and private
We’re an SBA 8(a) and CVE certified Service Disabled Veteran Owned Small Business
We’re ISO 27001:2013, ISO 20000-1:2011, and ISO 9001:2015 certified and have CMMI DEV and SVC ML3 ratings
We’ve been named part of: Inc 5000’s Fastest Growing Private Companies in 2016; Washington Business Journal’s Fastest Growing Companies in 2015, 2016 and 2017; Washington Business Journal’s Best Places to Work in 2015, 2016 and 2017
The Employer:
We offer great benefits - Paid Time Off, Medical, Dental and Vision Insurance, 401(k) with company matching
We invest in our employees – We offer an annual training budget to our employees and opportunities for growth within the organization
We work hard, we play hard – We value work/life balance. We hold seasonal company events and a Washington Nationals Season Tickets lottery
Qualifications
Required:
7+ years of relevant experience
Experience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.
Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SAS
Experience working with databases such as SQL or MongoDB.
Experience working with large-scale data sets.
Experience producing data visualizations for a variety of different audiences.
Excellent verbal and written communications skills along with the ability to present technical data and approaches to both technical and non- technical audiences.
Clearance Requirements:
Must have an active Secret clearance.
This position is contingent upon budget, and/or customer approval.

IT Concepts is an Affirmative Action/Equal Opportunity employer. As such, any personnel decisions (hire, promotion, job status, etc.) on applicants and/or employees are based on merit, qualifications, competence and business needs, not on race, color, citizenship status, national origin, ancestry, gender, sexual orientation, gender identity, age, religion, creed, physical or mental disability, pregnancy, childbirth or related medical condition, genetic information of the employee or family member of the employee, marital status, veteran status, political affiliation, or any other factor protected by federal, state or local law.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.",4.8,"IT Concepts
4.8",Remote,"Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Data Engineer,$112K-$133K (Glassdoor est.),"A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass
4.4","Houston, TX","Houston, TX",501 to 1000 employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1
Data Scientist,$85K-$142K (Employer est.),"We're searching for Enterprise and R&D data scientists to drive advanced analytics, AI and Machine learning to support multiple use cases a covering but not limited to language/image processing,machine learning analytics, deep learning analytics etc. for use cases in drug research, commercial operations, manufacturing systems, supply chain planning, logistics, infrastructure processes etc.

The successful Data Scientist will translate business needs into analytic questions; conduct data exploration leveraging data from disparate data stores (including data lakes, traditional relational and non-relational data); develop model specification; design and perform rigorous analyses of operational, customer, and financial data; and translate these analytic findings into leading information for our business partners.

This position would act as an advisor to executive and management level decision makers. This individual would provide ‘end-to-end’ guidance on deployment of machine learning models including data governance and industry best practices with a lens towards agility and efficiency, leveraging a) data science and statistical methods, b) programming languages such as R, python, Spark, SAS, c) libraries such as TensorFlow, Pytorch etc. d) technology capabilities such as containers and orchestration (Docker, Kubernetes) in on-prem, cloud and hybrid infrastructures.

Responsibilities
Consult with internal and external stakeholders to determine how best to apply descriptive analysis and/or statistical learning to support business objectives
Demonstrate a thorough understanding of concepts related to statistical methods, language and image processing and operations research and how to use them for solving real world problems.
Apply linear models, machine learning algorithms, times series forecasting, and modern optimization methods (i.e. metaheuristics) to understand and/or predict events impacting various business operations.
Understand the guidelines needed to build credible and efficient simulation models used to inform the decision-making process.
Collaborate with subject matter experts and data engineers to deploy advanced analytic solutions into the operational environments.
Adhere to agile project management frameworks and set the direction of data science initiatives

Qualifications
Masters or Bachelors in quantitative discipline (e.g. applied math, operation research, computer science, etc.) PHD and at least 4 years experience.
Lifesciences, healthcare analytics background preferred.
Practical experience with times series forecasting, monte carlo analysis, spatial analysis, and/or machine learning (random forest, neural nets, SVM, etc.)
Familiarity and use with public datasets such as Clinicaltrials.gov, imagenet, COCO etc.
Familiarity with Machine Learning solution offerings/operationalize from cloud providers such as AWS (ex. Sagemaker), Azure, GCP.
Familiarity with the concepts of container-based machine learning models, automation and operations.
Familiarity with language models (SpaCy, NLTK, Stanford NLP) and using them to operationalize and enhance chatbot user experience.
Familiarity with navigating in both a relational (Teradata-based) and non-relational (Hadoop) environment. SQL skillset is strongly desired. Knowledge of Java/Scala/Apache Spark is a bonus
Proficiency in R/Python; familiarity with libraries such as Tensorflow, café, Pytorch etc.
Practiced in exploratory data analysis (EDA) and manipulating large data sets
Capable of accessing external data sources through various APIs (e.g. google distance matrix, quandl financial data, etc.)
Strong and effective storytelling skills
If you are selected for these opportunities, you will be employed by, or contracted to, some of the world's foremost life sciences companies.

To find out more, please send a Word copy of your resume to virginia@brilliantleap.com. At this time we can accept only individuals who are legally authorized to work in the United States without sponsorship.

PLEASE NOTE: These jobs are not suited for recent graduates. It's better that you save your efforts now and apply for those kinds of jobs when they are available. Otherwise you may be accidentally filed in our system as someone we are not interested in. We know you are brilliant, but wait for the right opportunity.",-1,Brilliant Leap,"Paramus, NJ",-1,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,$85K-$142K (Employer est.),"Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.0,"Dun & Bradstreet
3.0","Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),"Experian, Equifax"
LEAD COMPUTER SCIENTIST - SR. COMPUTER SCIENTIST - SPACE DATA SYSTEMS,$85K-$142K (Employer est.),"Our Space Data Systems team is looking for a Software Lead to manage the development of Java web applications to support a variety of NASA/ESA space missions. The applications support space missions by providing tools for planning mission activities, instrument telemetry data management, data analysis, spaceflight operations tools, and space manufacturing support. Responsibilities will include leading software developers, developing software in Java in accordance with the SDS software engineering process, creating and improving existing web pages with JavaScript, Spring, jQuery, and CSS, writing SQL to work with MariaDB and Oracle databases, and collaborating with scientists and engineers to plan new features and review products in development.


Education/Experience:


Requires a BS or MS degree in Computer Science. Must have at least a 3.0 GPA. Must have at least 5 years of software development experience. Must have experience as a software lead, software technical lead or software project manager. Experience with Java or either C++, C#, Groovy, or Scala and willingness to learn Java is required. JSP, Servlet, Spring, or SQL experience (Oracle or MySQL) is preferred. Experience with JavaScript, jQuery, and CSS is a plus. Experience with Apache HTTPD and Apache Tomcat is a plus. Experience developing solutions from customer interactions is a plus. A valid/clear driver's license is required.


Special Considerations:


Must be a U.S. citizen or Permanent Resident due to ITAR work in section.

Job Locations: San Antonio, Texas


For more information about this division, visit the Space Science & Engineering home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace",4.1,"Southwest Research Institute
4.1","San Antonio, TX","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
Data Engineer,$85K-$142K (Employer est.),"ARC is searching for a Data Engineer to join our team! In this role, you will provide software development and product delivery support for data products and product teams. You will be responsible for product delivery data pipelines and the product lifecycle with direction from the Product Owner, the Solution Owner and technical guidance from Solution Architects.
If you are searching for a position where you can lend your technical expertise and experience professional growth, then we want to hear from you.

Support data pipeline development by contributing to and or leveraging existing architectural patterns to deliver the optimal product related to data; including but not limited to establishing and communicating design patterns, automation, recovery, and operational run books. Mentor other engineers. Cross functional collaboration and provide overall technical and thought leadership to other teams as needed.
Partner with product owners and business SMEs to analyze the business need and provide a supportable and sustainable engineered solution. Ensure that the overall technical solution is aligned with the business needs and adheres to ARC’s Architectural Guiding Principals.
Help drive the creation and modifications of the product portfolio components, identify and engage all technical resources necessary to contribute to the solution. Ensure the solution is consistent with ARC architecture, design and development standards.
Develop data pipelines using industry best practices. Make adjustments to adopt new methodologies that provide the business with increased flexibility and agility.
Stay current with latest cloud technologies, patterns, and methodologies; share knowledge by clearly articulating results and ideas to key stakeholders. May be required to present ideas to larger audience for review and buy-in.

Bachelor’s Degree in Computer Science or related field; or equivalent experience
3+ years of experience with full cycle application development (Full SDLC experience: design, development, delivery, etc.),
3+ years with Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery
3+ years of experience implementing modern applications using:
Cloud Based Solutions/Technologies (AWS, Google, Azure). AWS tech stack including, but not limited to, Lambda, API Gateway, DynamoDB, S3, Cloudwatch, SNS/SQS, Step Functions, Fargate
Implementation of modern application and infrastructure design patterns, including micro-services and containers, disposable, reactive, stateless and distributed patterns
Open source technologies including, but not limited to, NodeJS, OpenJDK, React, Python and NoSQL, DynamoDB database(s)
Familiarity with DevOps tools including, but not limited to, Terraform/Cloud formation, CI/CD pipe line tool like Jenkins, GIT, Jira, Confluence, Jenkins, Sonar, Nexus, automated test and deployment tools
Data warehouse platforms (such as Snowflake, and Redshift). Expertise with SQL, database design/structures, ETL/ELT design patterns, and datamart structures (star, snowflake schemas, etc.)
Experience w/Data Lake concepts and design patters (AWS S3, parquet, python, lambda, java, NoSQL
BI Technologies (such as Tableau, Jasper, Cognos, Qlik, Looker, and others)
Understanding of Data Management and Data governance best practices
You Will Also Bring These Professional Skills:
Proven ability to lead a group through an architectural development process and collaborate with stakeholders at all levels
Experience leading small technical teams to mentor and guide multiple-disciplined (full stack) technical teams
Ability to discover and define functional requirements and to transform them into technical requirements and solutions
Ability to influence technology strategy and best practices across peer and leadership groups to support an agile development culture
Outstanding communication skills (verbal and written) and ability to communicate with internal and external customers and all levels of management, including communicating technical information to nontechnical audiences
A strong intellectual curiosity to continually challenge what exists and explore what should be changed to best meet evolving business and market
A strong passion to support peers to help meet timelines on larger projects

Joining ARC means joining a team that is motivated, diverse, creative, collaborative and solutions-oriented. We think big, embrace challenges, and explore new ideas to lead the way for the travel industry.
Our employees value the hands-on learning and professional development opportunities that allow them to expand their skills and grow their career in new, dynamic ways.
We offer a highly competitive, comprehensive benefits package so you can worry less and focus on what truly matters.
By joining ARC, you will partner with top minds in the industry as we use data and technology to innovate how the world travels.
EOE M/F/D/V Females and Minorities Encouraged to Apply",3.9,"Airlines Reporting Corporation
3.9","Arlington, VA","Arlington, VA",201 to 500 employees,1984,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),-1
Data Scientist,$85K-$142K (Employer est.),"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.9,"MMIT
3.9","Yardley, PA","Yardley, PA",201 to 500 employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist,$85K-$142K (Employer est.),"As a part of the Data Science team, you will run the development of next-generation platforms for customers micro-segmentation, clusterization, behavior analysis, and prediction as well as building up new improved recommendation systems for the customers.

You will use your expertise to design data science models and frameworks, data processing pipelines, and lead efforts of the ML models productization.

You will use project management skills to manage the deliverables and ensure all stakeholder work is complete on time. You will also manage stakeholder communications and present your project across a wide spectrum of management levels.

Data Scientist is supposed to handle complex problems independently and demonstrate analytical thinking. At this position, you should be able to make judgments and recommendations based on the analysis and interpretation of data.

The position requires excellent communication skills and experience working directly with technical teams as well as with business stakeholders. Being able to present findings in a meaningful and clear way is a must.

Responsibilities:
Work with a team of skilled data scientists and data engineers
Plan the R&D process to fit sprint goals as well as the project milestones.
Design a new solution architecture for customers clusterization, NLP, and prediction analysis.
Drive the collection, cleaning, processing, and analysis of new and existing data sources.
Lead ML models development using Python/Tensorflow/Keras/Spark stack.
Communicate with business stakeholders to clarify their requirements and present the teamwork results.
Learn & stay current on developments in one or more analytics domains: Optimization, Machine Learning, Deep Learning / AI, Simulation, etc.
Requirements:
Advanced degree (MS/PhD) in a relevant technical field (e.g., Computer Science, Mathematics, Applied Mathematics, Statistics, Operations Research) with 5+ years’ experience in related data science, analytics, and model building roles.
Strong practical knowledge of analytical techniques and methodologies such as machine learning (supervised and unsupervised techniques), segmentation, time series modeling, response modeling, lift modeling, survival analysis.
Experience with look-alike modeling and sequential-input models, RNNs (LSTM, GRU, etc.)
Experience with NLP and textual data analysis.
Strong working experience in Python, SQL and NoSQL DBs.
Practical skills in usage of big data technologies and tools including Hadoop, MapReduce, Hive, Spark.
Fluency in such technologies like Tensorflow, keras, scikit, gensim, stanfordNLP, PySpark.
Understanding of and experience with customer intelligence & marketing domains a plus.
Great communication and presentation skills. Proven ability to present progress made by the team to senior business management and the project stakeholders.
Familiarity with cloud ML Platforms (Google AI Platform, Amazon Sagemaker, MS Azure AI Platform) is a plus.
Experience in working across different global cultures is a plus.
We offer:
Opportunity to work on bleeding-edge projects
Work with a highly motivated and dedicated team
Very competitive salary
Flexible schedule
Medical insurance
Benefits program
Corporate social events
Professional development opportunities
NB:

Placement and Staffing Agencies need not apply. We do not work with C2C at this time. At this moment, we are not able to process H1B transfers. Applicants with CPT and OPT visas are welcome to apply.

About Us:

Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance and technology sectors.

We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season.

Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, omnichannel services, DevOps, and cloud enablement.",3.9,"Grid Dynamics
3.9","Atlanta, GA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent"
Data Scientist Architect,$85K-$142K (Employer est.),"This career opportunity is in our Minneapolis office. This individual contributor position will be a member of a high-performing technology team that leads the firm in Business Intelligence and data services by providing architectural guidance, technological vision and solution development. Specifically, this position will be utilizing advanced analytics, data science and machine learning to give our business and our products a competitive advantage. It includes understanding and managing the data, how it interconnects and architecting data for self-serve BI and BA opportunities. This position is for a person that is both business savvy and an expert in data analytics/data science that enjoys framing a problem, shaping & creating solutions and helping to champion implementation.

PRIMARY DUTIES AND RESPONSIBILITIES
Identify and prioritize business use cases. Understand the business, strategy and work with business leaders to identify and prioritize problems that advanced analytics is suited to solve. Effectively communicate these ideas to senior management. In other words, translate business problems into advanced analytics/data science projects and lead in quantifying the various types of risk and rewards that allow these projects to be prioritized.
Stakeholder thought partner to stakeholders by understanding the business needs through a deep knowledge of business operations, the key strategic objectives of our stakeholders, and what stakeholders need to achieve those strategic objectives. Seen by the stakeholder as an extension of their team and brought in for strategic and operational conversations.
Operationalize data and analytic products while also making sure they continue to deliver value. Be able to tell the story of how data and analytics is positively impacting stakeholders. Work closely with the business to achieve real value through informed decisions and improved actions.
Give direction and insight on all data analytics large initiatives/epics/areas of focus.
Build end to end advanced analytics, DSML and AI solutions.
Collect and prepare data. You will help identify the business data needed to produce the most useful insights and future analytics. This would include business line and possible outside sources of data. Ensuring alignment on short-term delivery goals and long-term data and analytic roadmaps with clear articulation of expected value and how the work is to be prioritized.
Validate business implications. You will synthesize analytics-derived insights into easy-to-understand, actionable recommendations that business users can easily understand. Ensure that the insights generated through sophisticated analytics translate to help drive revenue and cost-effective scaling.
Stay abreast of the latest developments and advancements. And how they could impact SullivanCotter.
EDUCATION AND EXPERIENCE REQUIREMENTS
Bachelor’s degree in business, IT, mathematics, statistics or relevant degree program.
10+ years' experience in data analytics or a data scientist or data architect role.
Expertise solution design, problem framing, design thinking, analytics techniques and building solutions.
Skilled at communicating with a variety of methods to include written business cases, data visualizations and infographics.
Demonstrated technical excellence in BI, reporting and analytics tools, analytic solutions (e.g. Power BI, Tableau, R), data visualization, data analytics processing, Python, SQL, AI, and ML.
Experience with the techniques and technologies of data science, along with a comprehensive understanding of the challenges associated with each (e.g. overfitting, model refresh, challenge of acquiring training data, cost of compute, etc.).
Demonstrated communication and influencing skills with business and technical leaders. A talent for boiling complex ideas down to clear, practical choices. Track record of delivering multiple projects with tangible impact.
Extensive experience leading large complex projects, including strategic and tactical planning and implementation, analysis, design, technology selection and deployment.
Results driven–sets aggressive goals and is accountable for continuously driving improved outcomes, leads change, and ensures high standards.
Storytelling: ability to communicate complex ideas in a way that is digestible to broad audience and leads to decision and action.
Track record of developing and implementing innovative highly available, scalable and secure enterprise data and analytic deployments to meet current and future business needs.
BEHAVIORAL ATTRIBUTES
You are passionate about helping organizations drive their success utilizing data.
Skilled storyteller with a passion for data, you will analyze and evaluate data to create innovative advanced analytics to provide the business a competitive edge.
Inquisitive, desire to ask questions and get a deeper understanding of issues (business and data).
Innovative, ability to imagine new analytical solutions to any problem.
Confident, able to challenge perceptions and biases of individuals at every level of the organization in order to enact improvements.
Ability to communicate to both technical and non-technical people. Passion to give others an advantage of understanding by using accessible language.
Business oriented, solid understanding of business requirements and vernacular.
Highly detailed where and when you need to be, able to be less detailed when you need to be.
Curious, stays abreast of current and upcoming technologies and tools.
Applicants for employment must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).

Qualified applicants will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, age, disability or marital status.

Apply Now",4.3,"SullivanCotter
4.3","Minneapolis, MN","Chicago, IL",201 to 500 employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies"
